Date,ADS.DE,AI.PA,ALV.DE,ASML.AS,CS.PA,BBVA.MC,SAN.MC,BAS.DE,BAYN.DE,BMW.DE,BNP.PA,SGO.PA,DAI.DE,DTE.DE,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,EL.PA,FRE.DE,BN.PA,IBE.MC,INGA.AS,ISP.MI,OR.PA,MC.PA,MUV2.DE,ORA.PA,PHIA.AS,SAF.PA,SAN.PA,SAP.DE,SU.PA,SIE.DE,TEF.MC,FP.PA,URW.AS,UNA.AS,DG.PA,VIV.PA,VOW.DE
2000-01-03,13.416155815124512,18.674999237060547,161.74951171875,44.78428268432617,6.0055670738220215,5.497487545013428,2.892519950866699,10.975500106811523,24.676698684692383,17.068117141723633,16.956647872924805,23.909914016723633,33.347660064697266,25.4110107421875,1.7354379892349243,12.54947280883789,3.494044303894043,5.279346466064453,10.35328197479248,9.960428237915039,15.76291561126709,1.291318655014038,9.39933967590332,1.400260090827942,55.945457458496094,59.13008117675781,120.8440933227539,46.1759147644043,18.682100296020508,27.220788955688477,20.62095832824707,27.296058654785156,14.99689769744873,65.97757720947266,8.959244728088379,7.017274856567383,11.232463836669922,6.060124397277832,2.5402352809906006,32.12892532348633,35.84827423095703
2000-01-04,12.94320011138916,17.846229553222656,161.74951171875,42.634010314941406,5.784773826599121,5.354037761688232,2.82389235496521,10.664667129516602,23.68124771118164,16.37937355041504,16.480026245117188,23.46392250061035,32.0700569152832,24.874162673950195,1.675423264503479,12.32971477508545,3.4206974506378174,5.164697170257568,10.42347526550293,9.66606616973877,15.080534934997559,1.2711117267608643,9.141501426696777,1.4110314846038818,51.97467803955078,53.53671646118164,113.0093994140625,43.70849609375,17.64715003967285,26.036205291748047,19.338563919067383,26.000205993652344,14.465378761291504,63.31201934814453,8.590132713317871,6.762100696563721,11.421152114868164,5.958649158477783,2.392857551574707,30.58144187927246,34.87123489379883
2000-01-05,12.636319160461426,17.680471420288086,160.9853515625,38.568050384521484,5.696457862854004,5.233852863311768,2.7552623748779297,10.257373809814453,23.052547454833984,16.05525779724121,16.131731033325195,23.178985595703125,31.658618927001953,23.979406356811523,1.6404142379760742,12.15705680847168,3.44736909866333,5.241131782531738,10.71126651763916,9.515458106994629,15.012295722961426,1.2691869735717773,9.063370704650879,1.3894883394241333,50.2020149230957,51.72551727294922,121.55632781982422,41.41732406616211,17.594072341918945,24.081209182739258,18.522958755493164,22.862510681152344,13.857898712158203,61.16962814331055,8.188763618469238,6.591984272003174,11.41036605834961,6.088297367095947,2.4472265243530273,29.844526290893555,33.57280349731445
2000-01-06,13.177872657775879,18.951261520385742,167.6082000732422,35.87042999267578,5.6522979736328125,5.233852863311768,2.7552623748779297,10.2959623336792,23.13113021850586,16.00316619873047,15.581783294677734,23.079875946044922,30.87906837463379,21.832002639770508,1.6804240942001343,12.321869850158691,3.514050245285034,5.313194751739502,11.05520248413086,9.720827102661133,16.10409927368164,1.2691869735717773,9.000865936279297,1.3356318473815918,52.116493225097656,51.139556884765625,126.30459594726562,40.888587951660156,16.572399139404297,24.9924373626709,19.2359676361084,23.60417366027832,14.560285568237305,60.421504974365234,8.1959228515625,6.400605201721191,11.752708435058594,6.312648296356201,2.5288021564483643,29.494482040405273,33.42496109008789
2000-01-07,12.997356414794922,18.71920394897461,172.26963806152344,38.54849624633789,5.828932762145996,5.299760818481445,2.877268075942993,10.718262672424316,24.095149993896484,15.974228858947754,15.783427238464355,22.745386123657227,31.61531639099121,23.170547485351562,1.7054301500320435,12.08642292022705,3.5873968601226807,5.350319862365723,11.027124404907227,9.686601638793945,16.172338485717773,1.2797718048095703,9.17744255065918,1.3858956098556519,53.180084228515625,51.139556884765625,132.00257873535156,42.12228775024414,17.50119400024414,25.638580322265625,20.26188850402832,28.6195011138916,14.826064109802246,62.85222244262695,8.203082084655762,6.432499408721924,11.679924011230469,6.403975009918213,2.6103789806365967,29.733999252319336,34.3891487121582
2000-01-10,13.194119453430176,18.06723403930664,173.26304626464844,41.32430648803711,5.828932762145996,5.214468955993652,2.851851224899292,10.765420913696289,24.970094680786133,16.610885620117188,15.875091552734375,23.166595458984375,32.537784576416016,23.71455955505371,1.6804240942001343,12.023632049560547,3.5007128715515137,5.475888729095459,10.563859939575195,9.79613208770752,15.98127269744873,1.2701492309570312,9.188383102416992,1.3643531799316406,54.20823669433594,53.2969856262207,132.95223999023438,42.89777755737305,17.885986328125,26.59122085571289,19.82587432861328,29.788570404052734,14.579269409179688,66.59229278564453,8.450362205505371,6.437817096710205,11.806620597839355,6.33071231842041,2.5016181468963623,32.40525817871094,34.485565185546875
2000-01-11,13.071369171142578,17.9014835357666,171.6837921142578,41.832542419433594,5.696457862854004,5.109789848327637,2.7552623748779297,10.287386894226074,24.23136329650879,16.55300521850586,15.288482666015625,21.679967880249023,32.08738327026367,23.621503829956055,1.6254099607467651,11.921606063842773,3.487377405166626,5.579619884490967,10.634050369262695,9.857743263244629,15.82432746887207,1.2624515295028687,9.078993797302246,1.3428137302398682,53.250999450683594,54.335777282714844,133.42703247070312,41.55831527709961,18.443265914916992,28.40538787841797,20.082351684570312,30.742509841918945,14.01923942565918,67.051513671875,8.457540512084961,6.485661029815674,11.8605318069458,6.251766681671143,2.6103789806365967,33.01321792602539,35.02549743652344
2000-01-12,12.997356414794922,18.109224319458008,172.4479522705078,41.24611282348633,5.696457862854004,5.093101978302002,2.729846477508545,10.289530754089355,23.18352508544922,16.315706253051758,15.43513298034668,22.187902450561523,32.09170150756836,24.33730697631836,1.6904265880584717,11.952997207641602,3.5007128715515137,5.6014580726623535,10.528766632080078,9.755739212036133,16.240577697753906,1.2557158470153809,8.796157836914062,1.3499921560287476,50.84016418457031,56.73292541503906,133.90191650390625,40.39509963989258,18.429994583129883,28.40538787841797,19.64634132385254,31.37670135498047,14.247054100036621,66.34088897705078,8.260425567626953,6.379340648651123,11.949482917785645,6.201030254364014,2.5560100078582764,31.797306060791016,34.43414306640625
2000-01-13,12.60923957824707,18.53134536743164,175.2499237060547,41.69571304321289,5.828932762145996,4.968023300170898,2.7069692611694336,10.182348251342773,23.026350021362305,15.85847282409668,15.398468971252441,22.88165855407715,32.69803237915039,24.33730697631836,1.6554176807403564,11.694003105163574,3.4206974506378174,5.544678688049316,10.339244842529297,9.789286613464355,16.24740219116211,1.245131254196167,8.700835227966309,1.3284496068954468,51.15924835205078,60.19550323486328,134.8515625,40.71235656738281,19.146499633789062,30.807710647583008,19.518095016479492,31.707555770874023,14.968425750732422,68.91604614257812,8.762164115905762,6.352760314941406,12.08426284790039,6.217942237854004,2.5288021564483643,33.62112808227539,33.57280349731445
2000-01-14,12.157940864562988,18.940208435058594,189.18328857421875,46.62179183959961,5.91724967956543,5.065741062164307,2.7781388759613037,10.182348251342773,23.576467514038086,15.742716789245605,15.673443794250488,22.55955696105957,32.61140823364258,25.518383026123047,1.7204341888427734,11.66261100769043,3.4740407466888428,5.4049153327941895,10.690206527709961,9.789286613464355,16.131393432617188,1.216264247894287,8.907102584838867,1.346402883529663,53.180084228515625,62.59265899658203,146.48484802246094,42.9682731628418,20.181446075439453,32.3485107421875,20.359350204467773,32.424407958984375,14.901989936828613,72.4950942993164,9.030941009521484,6.517561912536621,12.372687339782715,6.291238307952881,2.5016181468963623,34.04484558105469,33.75277328491211
